timestamp,aqi,pm2_5,pm10,no2,o3,co,so2
2025-01-23 22:02:29,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:02:59,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:03:29,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:03:59,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:04:29,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:04:59,5,103.81,136.93,19.88,124.45,700.95,70.57
2025-01-23 22:05:35,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:06:31,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:07:01,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:07:31,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:08:01,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:08:31,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:09:01,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:09:31,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:10:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:10:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:11:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:11:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:12:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:12:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:13:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:13:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:14:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:14:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:15:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:15:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:16:02,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:16:32,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:17:03,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:17:34,5,96.98,128.47,14.05,128.75,660.9,48.64
2025-01-23 22:18:04,5,96.98,128.47,14.05,128.75,660.9,48.64
